,CUSIP,Issuer Name,State Code,U.S. County Of Issuance,Mod Dur (Mid),Iss Spd Wst,Issue Date,Bond Purpose,Cpn,Maturity,Mty Size,Yield at Issue,Spread to AAA BVAL (%),YTW Sprd to Mty at Iss,Tax Prov,MSRB Volume,matches,USPS,NAME,INTPTLAT,INTPTLONG                                                                                                               
0,13063DRE0,State of California,CA,"Sacramento, CA",6.417250623,62.43104552,10/24/2019,PUBLIC FACILITIES WATER UTILITY IMPS. REFUNDING NOTES,2.5,10/1/2029,350000000,2.4,#N/A Authorization,62.43104552,FED TAXABLE/ST TAX-EXEMPT,3015000,Sacramento County,CA,Sacramento County,38.450136,-121.344329
1,13063DRD2,State of California,CA,"Sacramento, CA",3.911376531,51.64094439,10/24/2019,PUBLIC FACILITIES WATER UTILITY IMPS. REFUNDING NOTES,2.375,10/1/2026,330135000,2.2,#N/A Authorization,51.64094439,FED TAXABLE/ST TAX-EXEMPT,5000,Sacramento County,CA,Sacramento County,38.450136,-121.344329
2,64986DJE6,New York State Environmental Facilities Corp,NY,"Albany, NY",5.924749641,6.440986301,10/8/2019,REFUNDING BONDS WATER UTILITY IMPS. GREEN PURPOSE,5,6/15/2029,16480000,1.52,#N/A Authorization,6.440986301,FED & ST TAX-EXEMPT,1530000,Albany County,NY,Albany County,42.58824,-73.97401
3,306801N72,Town of Falmouth MA,MA,"Barnstable, MA",3.196302394,-4.728994521,12/12/2019,REFUNDING NOTES CURRENT REFUNDING WATER UTILITY IMPS.,5,2/1/2026,1935000,1.15,#N/A Authorization,-4.728994521,FED & ST TAX-EXEMPT,255000,Barnstable County,MA,Barnstable County,41.706123,-70.164823
4,575829FB7,Massachusetts Clean Water Trust/The,MA,"Suffolk, MA",3.609201961,4.950506849,10/24/2019,SEWER IMPS. WATER UTILITY IMPS. GREEN PURPOSE,5,8/1/2026,8080000,1.31,#N/A Authorization,4.950506849,FED & ST TAX-EXEMPT,5000,Suffolk County,MA,Suffolk County,42.338551,-71.018253
5,64986DJD8,New York State Environmental Facilities Corp,NY,"Albany, NY",5.167987934,6.278054795,10/8/2019,REFUNDING BONDS WATER UTILITY IMPS. GREEN PURPOSE,5,6/15/2028,15595000,1.47,#N/A Authorization,6.278054795,FED & ST TAX-EXEMPT,60000,Albany County,NY,Albany County,42.58824,-73.97401
6,575829FC5,Massachusetts Clean Water Trust/The,MA,"Suffolk, MA",4.411073918,6.235561644,10/24/2019,SEWER IMPS. WATER UTILITY IMPS. GREEN PURPOSE,5,8/1/2027,8430000,1.38,#N/A Authorization,6.235561644,FED & ST TAX-EXEMPT,20000,Suffolk County,MA,Suffolk County,42.338551,-71.018253
7,64972GUT9,New York City Municipal Water Finance Authority,NY,"New York, NY",5.162413112,5.823731507,12/12/2019,WATER UTILITY IMPS. SEWER IMPS.,5,6/15/2028,9200000,1.42,#N/A Authorization,5.823731507,FED & ST TAX-EXEMPT,75000,New York County,NY,New York County,40.776642,-73.970187
8,14739HDP3,Cascade Water Alliance,WA,"King, WA",4.490852644,3.116493151,9/4/2019,CURRENT REFUNDING WATER UTILITY IMPS.,5,9/1/2027,2950000,1.19,#N/A Authorization,3.116493151,FED TAX-EXEMPT,165000,,WA,King County,47.490552,-121.833977
9,506498ZL1,City of Lafayette LA Utilities Revenue,LA,"Lafayette, LA",1.235769406,16.08626575,5/1/2019,ELEC. LT. & PWR. IMPTS. WATER UTILITY IMPS. SEWER IMPS.,5,11/1/2023,1390000,1.78,#N/A Authorization,16.08626575,FED & ST TAX-EXEMPT,50000,Lafayette County,LA,Lafayette Parish,30.206507,-92.06417
10,741530HJ1,Prichard Water Works & Sewer Board,AL,"Mobile, AL",1.201873713,76.52232877,11/20/2019,WATER UTILITY IMPS. SEWER IMPS. CURRENT REFUNDING,5,11/1/2023,1140000,1.91,#N/A Authorization,76.52232877,FED & ST TAX-EXEMPT,660000,Mobile County,AL,Mobile County,30.684572,-88.196568
11,677660UY6,Ohio Water Development Authority,OH,"Franklin, OH",5.506434706,4.980476712,3/14/2019,WATER UTILITY IMPS. SEWER IMPS. GREEN PURPOSE,5,12/1/2028,30000000,2.15,#N/A Authorization,4.980476712,FED & ST TAX-EXEMPT,195000,Franklin County,OH,Franklin County,39.969875,-83.009086
12,45506DV69,Indiana Finance Authority,IN,"Marion, IN",3.192301158,4.423791781,1/24/2019,SEWER IMPS. WATER UTILITY IMPS. GREEN PURPOSE,5,2/1/2026,34000000,2.06,#N/A Authorization,4.423791781,FED & ST TAX-EXEMPT,10000,Marion County,IN,Marion County,39.782976,-86.135794
13,952531DA6,City of West Des Moines IA,IA,"Polk, IA",1.777054825,5.624224658,6/20/2019,PUBLIC IMPS. SEWER IMPS. WATER UTILITY IMPS.,5,6/1/2024,985000,1.48,#N/A Authorization,5.624224658,FED & ST TAX-EXEMPT,40000,,IA,Polk County,41.684816,-93.568971
14,45506D5N1,Indiana Finance Authority,IN,"Marion, IN",5.552274062,6.577616438,10/10/2019,GREEN PURPOSE WATER UTILITY IMPS.,5,2/1/2029,12985000,1.46,#N/A Authorization,6.577616438,FED & ST TAX-EXEMPT,765000,Marion County,IN,Marion County,39.782976,-86.135794
15,296809SR8,Essex County Improvement Authority,NJ,"Essex, NJ",0.279934836,4.261591781,11/7/2019,WATER UTILITY IMPS.,5,11/1/2022,1270000,1.21,#N/A Authorization,4.261591781,FED & ST TAX-EXEMPT,590000,,NJ,Essex County,40.7874,-74.246292
16,64986DJC0,New York State Environmental Facilities Corp,NY,"Albany, NY",4.384250837,4.301884932,10/8/2019,REFUNDING BONDS WATER UTILITY IMPS. GREEN PURPOSE,5,6/15/2027,14755000,1.4,#N/A Authorization,4.301884932,FED & ST TAX-EXEMPT,1605000,Albany County,NY,Albany County,42.58824,-73.97401
