,Issuer Name,Insured Bonds,State Code,Mod Dur (Mid),Iss Spd Wst,Issue Date,Cpn,Maturity,Mty Size,Yield at Issue,YTW Sprd to Mty at Iss,MSRB Volume,BBG Composite,LQA Score,County,USPS,NAME,INTPTLAT,INTPTLONG                                                                                                               
0,State of California,N,CA,3.02997192,23.73827602,9/12/2017,4,11/1/2025,31985000,1.85,23.73827602,45000,AA-,77,Sacramento,CA,Sacramento,38.450136,-121.344329
1,California Infrastructure & Economic Development Bank,N,CA,1.120080131,-2.797638259,3/23/2017,5,10/1/2023,39755000,1.77,-2.797638259,75000,AAA,95,Sacramento,CA,Sacramento,38.450136,-121.344329
2,New York State Environmental Facilities Corp,N,NY,2.680928008,6.733772291,4/13/2017,5,6/15/2025,19725000,2.24,6.733772291,100000,AAA,80,Albany,NY,Albany,42.58824,-73.97401
3,Lakeside Water Control & Improvement District No 2-D,Y,TX,1.048659155,39.54135616,12/1/2017,3,9/1/2023,300000,2.25,39.54135616,400000,A,89,Travis,TX,Travis,30.239513,-97.69127
4,South Dakota Conservancy District,N,SD,3.657232711,6.352813536,8/23/2017,5,8/1/2026,6565000,1.86,6.352813536,435000,AAA,60,Hughes,SD,Hughes,44.384452,-99.975684
5,Illinois Finance Authority,N,IL,2.718620296,28.52394951,9/12/2017,5,7/1/2025,16730000,1.85,28.52394951,100000,AAA,79,Cook,IL,Cook,41.894294,-87.645455
6,California Infrastructure & Economic Development Bank,N,CA,3.742880236,4.338369078,3/23/2017,5,10/1/2026,24525000,2.27,4.338369078,25000,AAA,73,Sacramento,CA,Sacramento,38.450136,-121.344329
7,Utah Water Finance Agency,N,UT,1.49709619,19.85841544,7/20/2017,5,3/1/2024,3305000,1.65,19.85841544,30000,AA,79,Salt Lake,UT,Salt Lake,40.667883,-111.92424
8,Albuquerque Bernalillo County Water Utility Authority,N,NM,0.89574888,16.65243162,3/1/2017,5,7/1/2023,4910000,2.06,16.65243162,700000,AA,93,Bernalillo,NM,Bernalillo,35.053628,-106.66908
9,Iowa Finance Authority,N,IA,0.972682424,15.77989041,12/14/2017,5,8/1/2023,12775000,1.9,15.77989041,15000,AAA,91,Polk,IA,Polk,41.684816,-93.568971
10,Yorba Linda Water District,N,CA,2.028086548,2.545088367,5/11/2017,5,10/1/2024,1095000,1.81,2.545088367,600000,AA+,68,Orange,CA,Orange,33.675687,-117.777207
11,City of Tucson AZ Water System Revenue,N,AZ,1.828681333,8.949965095,6/28/2017,5,7/1/2024,6880000,1.59,8.949965095,75000,AA,79,Pima,AZ,Pima,32.128038,-111.783657
12,Texas Water Development Board,N,TX,2.511570996,16.64980274,10/12/2017,5,4/15/2025,27850000,1.79,16.64980274,225000,AAA,85,Travis,TX,Travis,30.239513,-97.69127
