id,location name,latitude (decimal degrees),longitude (decimal degrees)
1,Camden County Public Water Supply District Number Four,38.026527,-92.765327
2,City of Canton KS,38.395812,-97.647489
3,Albuquerque Bernalillo County Water Utility Authority,35.053628,-106.66908
4,Aliquippa Municipal Water Authority Water & Sewer Revenue,40.68414,-80.350721
5,County of Anne Arundel MD,38.991617,-76.560894
6,City of Bessemer AL Water Revenue,33.553444,-86.896536
7,City of Beaumont TX Waterworks & Sewer System Revenue,29.854,-94.149331
8,City of Burnsville MN,44.670893,-93.062481
9,City of Amarillo TX Waterworks & Sewer System Revenue,35.398675,-101.893804
10,City of Atlanta IL,40.129277,-89.365309
11,Casitas Municipal Water District,34.358748,-119.133145
12,City of Abilene TX,32.297126,-99.89043
13,Discovery Bay Public Financing Authority,37.919479,-121.951543
14,District of Columbia Water & Sewer Authority,38.904247,-77.016517
15,City of Dixon CA,38.267226,-121.939594
16,City of Detroit Lakes MN,46.937629,-95.741757
17,City of Olive Branch MS Water & Sewer System Revenue,34.874922,-89.991211
18,City of Norborne MO Waterworks & Sewer System Revenue,39.427375,-93.500227
19,Sienna Municipal Utility District No 4,29.526602,-95.771015
20,City of Oneonta NY,42.629776,-75.028841
21,County of Onondaga NY,43.006516,-76.196134
22,South Dakota Conservancy District,44.384452,-99.975684
23,Opelika Utilities Board,32.604064,-85.353048
24,City of Shelbyville TN,35.51366,-86.458294
25,City of Newport News VA Water Revenue,37.076136,-76.52198
26,City of Nichols Hills OK,35.554611,-97.409401
27,Six Mile Creek Community Development District,30.45931,-84.2778
28,City of Van TX,32.558787,-95.836906
29,Vera Water & Power,47.620375,-117.403371
30,Town of Niskayuna NY,42.817552,-74.043559
31,City of Norfolk VA,36.923015,-76.244641
32,Town of North Attleborough MA,41.748588,-71.088894
33,Village of North Aurora IL,41.939594,-88.42804
34,Presidential Glen Municipal Utility District,30.239513,-97.69127
35,Village of Somers WI Water & Sewer Revenue,45.028959,-92.447284
36,Red River Authority Utility Revenue,33.988212,-98.70801
