,Issuer Name,Insured Bonds,Mod Dur (Mid),Iss Spd Wst,Issue Date,Cpn,Maturity,Mty Size,Yield at Issue,YTW Sprd to Mty at Iss,MSRB Volume,BBG Composite,LQA Score,County,State
0,State of California,N,3.0299719197408277,23.73827601678795,9/12/2017,4.0,11/1/2025,31985000,1.85,23.73827601678795,45000.0,AA-,77,Sacramento, CA
1,California Infrastructure & Economic Development Bank,N,1.120080131461998,-2.797638258997659,3/23/2017,5.0,10/1/2023,39755000,1.77,-2.797638258997659,75000.0,AAA,95,Sacramento, CA
2,New York State Environmental Facilities Corp,N,2.6809280077526085,6.733772291209883,4/13/2017,5.0,6/15/2025,19725000,2.24,6.733772291209883,100000.0,AAA,80,Albany, NY
3,Lakeside Water Control & Improvement District No 2-D,Y,1.0486591545700168,39.541356164383565,12/1/2017,3.0,9/1/2023,300000,2.25,39.541356164383565,400000.0,A,89,Travis, TX
4,South Dakota Conservancy District,N,3.657232710645563,6.352813536311874,8/23/2017,5.0,8/1/2026,6565000,1.86,6.352813536311874,435000.0,AAA,60,Hughes, SD
5,Illinois Finance Authority,N,2.718620296093267,28.52394951382673,9/12/2017,5.0,7/1/2025,16730000,1.85,28.52394951382673,100000.0,AAA,79,Cook, IL
6,California Infrastructure & Economic Development Bank,N,3.7428802360014557,4.338369078131565,3/23/2017,5.0,10/1/2026,24525000,2.27,4.338369078131565,25000.0,AAA,73,Sacramento, CA
7,Utah Water Finance Agency,N,1.4970961904765159,19.858415436318122,7/20/2017,5.0,3/1/2024,3305000,1.6500000000000001,19.858415436318122,30000.0,AA,79,Salt Lake, UT
8,Albuquerque Bernalillo County Water Utility Authority,N,0.895748880411604,16.65243162403587,3/1/2017,5.0,7/1/2023,4910000,2.06,16.65243162403587,700000.0,AA,93,Bernalillo, NM
9,Iowa Finance Authority,N,0.9726824240884162,15.779890410958885,12/14/2017,5.0,8/1/2023,12775000,1.9000000000000001,15.779890410958885,15000.0,AAA,91,Polk, IA
10,Yorba Linda Water District,N,2.0280865484276545,2.5450883671672475,5/11/2017,5.0,10/1/2024,1095000,1.81,2.5450883671672475,600000.0,AA+,68,Orange, CA
11,City of Tucson AZ Water System Revenue,N,1.8286813328672389,8.949965094538182,6/28/2017,5.0,7/1/2024,6880000,1.59,8.949965094538182,75000.0,AA,79,Pima, AZ
12,Texas Water Development Board,N,2.511570996387759,16.649802739726027,10/12/2017,5.0,4/15/2025,27850000,1.79,16.649802739726027,225000.0,AAA,85,Travis, TX
13,New York State Environmental Facilities Corp,N,1.785985605460026,7.097480894240826,4/13/2017,5.0,6/15/2024,21670000,2.09,7.097480894240826,150000.0,AAA,87,Albany, NY
14,County of Union NC Enterprise System Revenue,N,2.6383522217427617,6.758262600010023,8/30/2017,5.0,6/1/2025,2190000,1.6300000000000001,6.758262600010023,500000.0,AA,67,Union, NC
15,Trinity River Authority Central Regional Wastewater System Revenue,N,3.6563430287050247,20.208971274119804,5/1/2017,5.0,8/1/2026,6625000,2.2800000000000002,20.208971274119804,395000.0,AAA,74,Tarrant, TX
16,Padre Dam Municipal Water District,N,1.1152350726380686,3.68169809955865,6/15/2017,5.0,10/1/2023,1690000,1.42,3.68169809955865,5000.0,AA+,77,San Diego, CA
17,New York State Environmental Facilities Corp,N,4.352219619593919,6.457227006691513,4/13/2017,5.0,6/15/2027,21210000,2.48,6.457227006691513,25000.0,AAA,70,Albany, NY
18,State of Connecticut Clean Water Fund - State Revolving Fund,N,1.6630233567117265,11.212818715023975,6/15/2017,5.0,5/1/2024,9390000,1.57,11.212818715023975,80000.0,AAA,77,Hartford, CT
19,State of Connecticut Clean Water Fund - State Revolving Fund,N,3.411931856847796,17.034925909554865,6/15/2017,5.0,5/1/2026,10905000,1.93,17.034925909554865,100000.0,AAA,63,Hartford, CT
20,Illinois Finance Authority,N,0.4115652792270682,20.569293776331232,9/12/2017,5.0,1/1/2023,15750000,1.4000000000000001,20.569293776331232,4040000.0,AAA,92,Cook, IL
21,Texas Water Development Board,N,3.3664954889037295,18.39928219178082,10/12/2017,5.0,4/15/2026,21395000,1.94,18.39928219178082,175000.0,AAA,80,Travis, TX
22,County of Anne Arundel MD,N,3.7447065270950297,2.851922714736821,4/12/2017,5.0,10/1/2026,2125000,2.25,2.851922714736821,450000.0,AAA,79,Anne Arundel, MD
23,State of California,N,0.2467757484180053,16.999719009201918,9/12/2017,5.0,11/1/2022,45000000,1.34,16.999719009201918,310000.0,AA-,97,Sacramento, CA
24,City of San Francisco CA Public Utilities Commission Water Revenue,N,2.1163468953311835,-7.81500273972604,12/13/2017,5.0,11/1/2024,2570000,1.8900000000000001,-7.81500273972604,700000.0,AA-,82,San Francisco, CA
25,State of Connecticut Clean Water Fund - State Revolving Fund,N,4.226918621723704,17.249330658145535,6/15/2017,5.0,5/1/2027,8675000,2.05,17.249330658145535,100000.0,AAA,32,Hartford, CT
26,New York State Environmental Facilities Corp,N,3.5369992034519715,0.43429589041097394,12/14/2017,5.0,6/15/2026,7615000,2.09,0.43429589041097394,550000.0,AAA,76,Albany, NY
27,Yorba Linda Water District,N,1.1176649044200093,2.678780953336446,5/11/2017,5.0,10/1/2023,1045000,1.6500000000000001,2.678780953336446,450000.0,AA+,78,Orange, CA
